Citizenship,Undergraduate Institution,Undergraduate Major,GPA,Graduation Year,Graduate Degree of Interest,Top Choice,Second Choice,Gender,Ethnicity
Permanent Resident,"University at Buffalo, State University of New York",Computer Science,3.4,2018,Masters,Computer Science/Engineering,Computer Information Systems,Female,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Mechanical Engineering,3.53,2018,Ph.D. with Masters,Mechanical Engineering,Automotive Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Chemical and Biological Engineering,3.6,2019,Ph.D. with Masters,Chemical Engineering,Chemical Engineering,Male,"Asian, White"
U.S. Citizen,"University at Buffalo, State University of New York",Computer Science ,3.8,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Biomedical Engineering,3.95,2018,Ph.D. with Masters,Biomedical Engineering,Electrical Engineering,Male,White
International,"University at Buffalo, State University of New York",Chemical and Biological Engineering,3.45,2019,Ph.D. with Masters,Chemical Engineering,Biological Engineering,Female,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Mechanical Engineering,3.8,2019,Masters,Automotive Engineering,Mechanical Engineering,Male,
U.S. Citizen,"University at Buffalo, State University of New York",Computer Engineering,3.7,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Biomedical Engineering,3.33,2019,Masters,Biomedical Engineering,,Female,White
U.S. Citizen,"University at Buffalo, State University of New York",Mechanical and Aerospace Engineering,4,2019,Masters,Electrical Engineering,Nuclear Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Civil engineering ,3.54,2019,Masters,Civil Engineering,Environmental Engineering,Female,White
U.S. Citizen,"University at Buffalo, State University of New York",Computer Science,3.3,2019,Masters,Computer Science/Engineering,Computer Science/Engineering,Male,Hispanic
International,"University at Buffalo, State University of New York",Chemical Engineering,3.38,2019,Masters,Biomedical Engineering,Materials Science/Polymers Engineering,Male,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Biomedical Engineering,3.97,2019,Ph.D. with Masters,Biomedical Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Mechanical engineering ,3.8,2018,Masters,Energy Engineering,Mechanical Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Computer Engineering,3.3,2018,Ph.D. with Masters,Computer Engineering,Computer Science/Engineering,Male,
International,"University at Buffalo, State University of New York",Mechanical Engineering,3.5,2017,Masters,Computer Science/Engineering,Computer Engineering,Male,Asian
Permanent Resident,"University at Buffalo, State University of New York",Mechanical and Aerospace Engineering,3.3,2019,Online Masters,Automotive Engineering,Robotics Engineering,Male,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Biomedical Engineering,3.6,2017,Masters,Biomedical Engineering,Electrical Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Mechanical Engineering,3.3,2018,Ph.D. with Masters,Mechanical Engineering,Robotics Engineering,Male,White
International,"University at Buffalo, State University of New York",Mechanical and Aerospace Engineering,3.14,2018,Ph.D. with Masters,Mechanical Engineering,Aerospace Engineering,Male,Asian
International,"University at Buffalo, State University of New York",Electrical Engineering,3.36,2018,Masters,Electrical Engineering,,Female,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Biomedical Engineering,3.95,2018,Masters,Biomedical Engineering,Bioengineering,Male,White
International,"University at Buffalo, State University of New York",Computer Science,3.8,2018,Masters,Computer Science/Engineering,,Female,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Mechanical Engineering,3.81,2019,Ph.D. with Masters,Mechanical Engineering,Materials Science/Polymers Engineering,Male,White
International,"University at Buffalo, State University of New York",Biomedical Engineering,3.74,2018,Masters,Biomedical Engineering,Bioengineering,Male,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Electrical Engineering,3.92,2019,Ph.D. with Masters,Electrical Engineering,Financial Engineering,Male,White
International,"University at Buffalo, State University of New York",Mechanical Engineering,3.1,2017,Masters,Industrial/Systems Engineering,,Male,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Biomedical Engineering,3.67,2019,Ph.D. with Masters,Biomedical Engineering,Tissue Engineering,Female,Black/African American
U.S. Citizen,"University at Buffalo, State University of New York",Engineering-Physics and Mathematics ,3.91,2018,Ph.D. with Masters,Applied Physics,,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Biomedical Engineering,3.95,2019,Masters,Mechanical Engineering,Biomedical Engineering,Female,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Chemical Engineering,3.97,2018,Masters,Chemical Engineering,Bioengineering,Male,
U.S. Citizen,"University at Buffalo, State University of New York",Biomedical Engineering,3.86,2018,Ph.D. with Masters,Biomedical Engineering,Tissue Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Biomedical Engineering,3.9,2019,Masters,Biomedical Engineering,Bioengineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Electrical Engineering,3.42,2018,Ph.D. with Masters,Applied Physics,Electrical Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York","B.S. Aerospace Engineering, B.A. Mathematics",3.68,2018,Ph.D. with Masters,Aerospace Engineering,Systems/Signals Engineering,Female,White
International,"University at Buffalo, State University of New York",Computer Science BS / Mathematics BA ,3.5,2018,Masters,Computer Science/Engineering,Financial Engineering,Male,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Aerospace Engineering,3.2,2019,Masters,Aerospace Engineering,,LGBTQ+,White
U.S. Citizen,"University at Buffalo, State University of New York",Mechanical engineer,3.5,2018,Ph.D. with Masters,Mechanical Engineering,,Male,White
International,"University at Buffalo, State University of New York",Environmental engineering ,3.81,2019,Masters,Environmental Engineering,Energy Engineering,Female,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Electrical Engineering,3.54,2019,Masters,Electrical Engineering,Industrial/Systems Engineering,Female,White
U.S. Citizen,"University at Buffalo, State University of New York",Biomedical Engineering ,3.27,2018,Ph.D. with Masters,Biomedical Engineering,Materials Science/Polymers Engineering,LGBTQ+,Black/African American
Permanent Resident,"University at Buffalo, State University of New York",Aerospace Engineering,4,2018,Ph.D. with Masters,Aerospace Engineering,Robotics Engineering,Male,Asian
International,"University at Buffalo, State University of New York",Civil Engineering,3.5,2018,Ph.D. with Masters,Civil Engineering,Environmental Engineering,Male,Asian
Permanent Resident,"University at Buffalo, State University of New York",Computer Science,3.8,2018,Masters,Computer Science,,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Computer Science ,3.63,2017,Masters,Computer Science/Engineering,,Male,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Computer Science,3.6,2019,Ph.D. with Masters,Computer Science/Engineering,Robotics Engineering,LGBTQ+,Hispanic
U.S. Citizen,"University at Buffalo, State University of New York",Electrical Engineering,3.4,2018,Masters,Electrical Engineering,,Male,Asian
International,"University at Buffalo, State University of New York",Computer Science,3.7,2019,Masters,Computer Science/Engineering,Computer Engineering,Female,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Biomedical Engineering,3.6,2018,Ph.D. with Masters,Biomedical Engineering,Electrical Engineering,Female,"AsianWhite"
U.S. Citizen,"University at Buffalo, State University of New York",Mechanical and Aerospace Engineering,3.83,2018,Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",industrial Engineering,3.36,2019,Masters,Industrial/Systems Engineering,Environmental Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Civil Engineering,3.71,2019,Masters,Structural Engineering,Civil Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Electrical Engineering,3.4,2020,Masters,Electrical Engineering,,Male,White
International,"University at Buffalo, State University of New York",Electrical Engineering,3.36,2018,Masters,Electrical Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Electrical Engineering,3.4,2019,Masters,Electrical Engineering,Applied Physics,Female,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Computer Science,3.98,2018,Masters,Computer Science/Engineering,Computer Information Systems,Male,Asian
International,"University at Buffalo, State University of New York",Computer Science,3.52,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Information Systems,Female,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Environmental Engineering,3.82,2018,Ph.D. with Masters,Environmental Engineering,Climate/Space Sciences Engineering,Male,White
U.S. Citizen,"University at Buffalo, State University of New York",Industrial & Systems Engineering,3.48,2018,Masters,Industrial/Systems Engineering,,Male,Asian
U.S. Citizen,"University at Buffalo, State University of New York",Electrical Engineering,3.52,2019,Masters,Electrical Engineering,Computer Science/Engineering,Male,Asian
International,"University at Buffalo, State University of New York",Civil Engineering,3.82,2019,Masters,Civil Engineering,Structural Engineering,Male,Asian
Permanent Resident,"University at Buffalo, State University of New York",Mechanical and Aerospace Engineering,3.49,2018,Ph.D. with Masters,Aerospace Engineering,Mechanical Engineering,Male,White
International,"University at Buffalo, State University of New York",Electrical Engineering,3.4,2019,Masters,Computer Science/Engineering,Electrical Engineering,Male,Asian
Permanent Resident,"University at Buffalo, State University of New York",Computer Science,3.93,2020,Ph.D. with Masters,Computer Science/Engineering,Architectural Engineering,Female,Asian
International,"University at Buffalo, State University of New York",Electrical Engineering and Computer science,3.65,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,Asian
U.S. Citizen,University of Alabama,Civil Engineering,3.81,2019,Masters,Civil Engineering,Mechanical Engineering,Male,White
International,University of Alabama,Aeronautical Engineering,3.9,2019,Masters,Mechanical Engineering,Robotics Engineering,Male,Asian
U.S. Citizen,University of Alabama,Chemical Engineering,3.58,2020,Ph.D. with Masters,Chemical Engineering,Nanoscience Engineering,Male,White
U.S. Citizen,University of Alabama,Aerospace Engineering,3.5,2017,Ph.D. with Masters,Aerospace Engineering,Aerospace Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.79,2018,Masters,Mechanical Engineering,Robotics Engineering,Male,
U.S. Citizen,University of Alabama,Mechanical Engineering,3.88,2017,Masters,Mechanical Engineering,Industrial/Systems Engineering,Female,White
U.S. Citizen,University of Alabama,Chemical Engineering,3.37,2019,Masters,Chemical Engineering,Coastal/Water Systems Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,4,2020,Masters,Mechanical Engineering,Automotive Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical Engineering,3.94,2019,Ph.D. with Masters,Biomedical Engineering,Nanoscience Engineering,Male,White
U.S. Citizen,University of Alabama,Civil Engineering,3.23,2019,Masters,Architectural Engineering,Structural Engineering,Male,
U.S. Citizen,University of Alabama,Aerospace Engineering & Mechanics,3.03,2018,Ph.D. with Masters,Aerospace Engineering,Climate/Space Sciences Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Enginnering,3.7,2018,Masters,Aerospace Engineering,Management,Male,White
U.S. Citizen,University of Alabama,Chemical Engineering,4,2019,Ph.D. with Masters,Materials Science/Polymers Engineering,Chemical Engineering,Female,White
U.S. Citizen,University of Alabama,Chemical Engineering,3.69,2019,Masters,Chemical Engineering,Biomedical Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.8,2018,Masters,Mechanical Engineering,Automotive Engineering,Male,White
U.S. Citizen,University of Alabama,mechanical engineering,3.2,2017,Ph.D. with Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,University of Alabama,Electrical Engineering,3.83,2020,Masters,Nanoscience Engineering,Computer Science/Engineering,Female,
U.S. Citizen,University of Alabama,Computer Science,4,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Male,
U.S. Citizen,University of Alabama,Chemical Engineering,3.56,2018,Masters,Chemical Engineering,Energy Engineering,Male,White
U.S. Citizen,University of Alabama,Civil engineering,4,2019,Masters,Environmental Engineering,Coastal/Water Systems Engineering,Female,White
International,University of Alabama,Aerospace Engineering,4,2019,Masters,Aerospace Engineering,Systems/Signals Engineering,Male,
U.S. Citizen,University of Alabama,Electrical Engineering,3.75,2019,Masters,MBA,Electrical Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,4,2020,Ph.D. with Masters,Mechanical Engineering,Electrical Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering / Mathematics,4,2019,Masters,Mechanical Engineering,Applied Physics,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,4,2018,Masters,Mechanical Engineering,Structural Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.1,2017,Masters,Environmental Engineering,Mechanical Engineering,Female,White
U.S. Citizen,University of Alabama,Aerospace Engineering,3.65,2018,Masters,Aerospace Engineering,Mechanical Engineering,Female,White
U.S. Citizen,University of Alabama,Electrical Engineering,3.37,2018,Masters,Computer Engineering,Electrical Engineering,Male,White
U.S. Citizen,University of Alabama,Electrical and Computer Engineering and Physics,4,2019,Masters,Electrical Engineering,Automotive Engineering,Male,
U.S. Citizen,University of Alabama,Mechanical Engineering,3.74,2020,Masters,Mechanical Engineering,Transportation Engineering,Male,
U.S. Citizen,University of Alabama,Electrical Engineering,3.83,2019,Masters,Electrical Engineering,Environmental Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.94,2018,Ph.D. with Masters,Nanoscience Engineering,Mechanical Engineering,Female,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.05,2017,Masters,Mechanical Engineering,Industrial/Systems Engineering,Male,
U.S. Citizen,University of Alabama,Computer Science,3.22,2019,Masters,Computer Science/Engineering,Computer Information Systems,Female,White
U.S. Citizen,University of Alabama,Mechanical Engineering,4,2020,Masters,Mechanical Engineering,Biomedical Engineering,Female,White
U.S. Citizen,University of Alabama,Mechanical Engineering,4,2020,Masters,Mechanical Engineering,Automotive Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical Engineering,3.42,2018,Ph.D. with Masters,Biomedical Engineering,Chemical Engineering,Female,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.05,2018,Masters,Industrial/Systems Engineering,Energy Engineering,Male,White
U.S. Citizen,University of Alabama,Civil Engineering,3.37,2019,Masters,Civil Engineering,Construction Management,Female,White
U.S. Citizen,University of Alabama,Mechanical Engineering,4,2019,Ph.D. with Masters,Mechanical Engineering,Aerospace Engineering,Male,Hispanic
U.S. Citizen,University of Alabama,Mechanical Engineering,4,2019,Masters,Mechanical Engineering,Civil Engineering,Male,
International,University of Alabama,computer science &  advertising,4,2019,Ph.D. with Masters,Computer Science/Engineering,Automotive Engineering,Male,Asian
U.S. Citizen,University of Alabama,Mechanical Engineering,3.38,2019,Masters,Mechanical Engineering,Naval Engineering,Male,White
U.S. Citizen,University of Alabama,Civil Engineering,4,2018,Masters,Structural Engineering,Civil Engineering,Male,White
U.S. Citizen,University of Alabama,Civil Engineering,4,2019,Masters,Civil Engineering,Transportation Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical and Biological Engineering,4,2019,Masters,Chemical Engineering,Biomedical Engineering,Female,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.71,2017,Masters,Mechanical Engineering,Industrial/Systems Engineering,Male,Native Hawaiian or Other Pacific Islander
U.S. Citizen,University of Alabama,Mechanical Engineering,3.97,2019,Masters,Robotics Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical Engineering,4,2020,Ph.D. with Masters,Chemical Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,University of Alabama,Aerospace Engineering,3.48,2017,Online Master's,Aerospace Engineering,Aerospace Engineering,Female,White
U.S. Citizen,University of Alabama,Environmental Engineering,3.92,2018,Masters,Environmental Engineering,Coastal/Water Systems Engineering,Female,White
U.S. Citizen,University of Alabama,Civil Engineering,3.61,2017,Masters,Civil Engineering,Transportation Engineering,Male,White
U.S. Citizen,University of Alabama,Civil Engineering,3.8,2019,Masters,Civil Engineering,Environmental Engineering,Male,
U.S. Citizen,University of Alabama,Electrical engineering,3.53,2018,Masters,Electrical Engineering,Energy Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical Engineering,3.8,2018,Ph.D. with Masters,Chemical Engineering,Chemical Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical engineering,3.38,2019,Ph.D. with Masters,Chemical Engineering,Biomedical Engineering,Male,White
U.S. Citizen,University of Alabama,Computer Science,3.72,2019,Ph.D. with Masters,Computer Science/Engineering,Mathematics,Male,
U.S. Citizen,University of Alabama,Civil Engineering,4,2019,Masters,Financial Engineering,Civil Engineering,Male,Asian
U.S. Citizen,University of Alabama,Electrical and Computer Engineering,3.9,2020,Ph.D. with Masters,Robotics Engineering,Computer Engineering,Male,White
U.S. Citizen,University of Alabama,Environmental Enineering,4,2019,Masters,Environmental Engineering,Civil Engineering,Female,
U.S. Citizen,University of Alabama,Electrical Engineering,4,2018,Ph.D. with Masters,Electrical Engineering,Energy Engineering,Male,
U.S. Citizen,University of Alabama,Civil Engineering,3.36,2017,Masters,Transportation Engineering,Civil Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.43,2019,Masters,Mechanical Engineering,Biomedical Engineering,Male,
U.S. Citizen,University of Alabama,Mechanical Engineering,3.91,2018,Masters,Masters of Business Administration (MBA),Mechanical Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical and Biological Engineering,3.47,2018,Masters,Petroleum Engineering,Climate/Space Sciences Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical Engineering,4,2018,Ph.D. with Masters,Chemical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,4,2018,Masters,Robotics Engineering,Mechanical Engineering,Female,White
U.S. Citizen,University of Alabama,Computer Science,4,2018,Masters,Computer Science/Engineering,Machine Learning,Female,White
U.S. Citizen,University of Alabama,Metallurgical Engineering,3.8,2017,Ph.D. with Masters,Materials Science/Polymers Engineering,Additive manufacturing,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.2,2018,Masters,Biomedical Engineering,Nanoscience Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical Engineering,3.07,2017,Masters,Materials Science/Polymers Engineering,Systems/Signals Engineering,Male,
U.S. Citizen,University of Alabama,Chemical Engineering,4,2018,Ph.D. with Masters,Biomedical Engineering,Nuclear Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical and Biological Engineering,3.72,2019,Ph.D. with Masters,Bioengineering,Tissue Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical Engineering,3.79,2019,Masters,Biomedical Engineering,Materials Science/Polymers Engineering,Female,White
U.S. Citizen,University of Alabama,Computer Science,3.77,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,University of Alabama,Civil Engineering,4,2020,Masters,Civil Engineering,Structural Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3,2018,Masters,Mechanical Engineering,Fire Protection Engineering,Male,
U.S. Citizen,University of Alabama,Civil Engineering,3.39,2019,Masters,Environmental Engineering,Civil Engineering,Female,White
U.S. Citizen,University of Alabama,Civil Engineering,3.95,2019,Masters,Structural Engineering,Civil Engineering,Female,White
U.S. Citizen,University of Alabama,Chemical Engineering,3.42,2018,Ph.D. only (have Masters),Chemical Engineering,Electrical Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical Engineering,4,2019,Masters,Chemical Engineering,Materials Science/Polymers Engineering,Female,White
U.S. Citizen,University of Alabama,Computer Science,4,2018,Online Master's,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,4,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.38,2019,Masters,Mechanical Engineering,Nanoscience Engineering,Prefer not to answer,
U.S. Citizen,University of Alabama,Mechanical Engineering,3.97,2018,Masters,Financial Engineering,Industrial/Systems Engineering,Female,
U.S. Citizen,University of Alabama,Chemical Engineering,3.93,2019,Masters,Chemical Engineering,Energy Engineering,Male,White
U.S. Citizen,University of Alabama,Environmental Engineering,3.2,2017,Masters,Environmental Engineering,Biological Engineering,Male,Asian
U.S. Citizen,University of Alabama,Chemical Engineering,3.54,2018,Ph.D. only (have Masters),Chemical Engineering,Tissue Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.58,2019,Masters,Mechanical Engineering,Energy Engineering,Female,White
U.S. Citizen,University of Alabama,Civil and Construction Engineering,4,2018,Masters,Structural Engineering,Civil Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.82,2019,Ph.D. with Masters,Mechanical Engineering,Automotive Engineering,Male,White
U.S. Citizen,University of Alabama,Computer Engineering,4,2018,Masters,Computer Engineering,Electrical Engineering,Male,White
U.S. Citizen,University of Alabama,Environmental Engineering,4,2019,Masters,Coastal/Water Systems Engineering,Environmental Engineering,Female,White
U.S. Citizen,University of Alabama,Mechanical Engineering,4,2018,Masters,Aerospace Engineering,Operations Engineering,Male,White
U.S. Citizen,University of Alabama,Computer Engineering and Computer Science,3.8,2017,Ph.D. with Masters,Robotics Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,University of Alabama,Civil Engineering,3.86,2019,Masters,Civil Engineering,Architectural Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical Engineering,4,2019,Ph.D. with Masters,Biomedical Engineering,Tissue Engineering,Female,White
U.S. Citizen,University of Alabama,Chemical and Biological Engineering,3.89,2018,Ph.D. with Masters,Chemical Engineering,Biomedical Engineering,Female,White
U.S. Citizen,University of Alabama,Chemical Engineering,3.98,2019,Ph.D. with Masters,Chemical Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.35,2018,Masters,Automotive Engineering,Energy Engineering,Male,White
U.S. Citizen,University of Alabama,Computer Science,3.78,2017,Masters,Human Computer-Interaction/Factors Engineering,"MBA, Data Analytics",Female,White
U.S. Citizen,University of Alabama,Electrical Engineering,3.78,2018,Masters,Electrical Engineering,Electrical Engineering,Male,White
U.S. Citizen,University of Alabama,Computer Science,3,2019,Masters,Computer Science/Engineering,Computer Engineering,Female,White
U.S. Citizen,University of Alabama,Electrical Engineering with a Concentration in Computer Engineering,4,2019,Ph.D. with Masters,Computer Engineering,Electrical Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.2,2019,Masters,Mechanical Engineering,Aerospace Engineering,Female,White
U.S. Citizen,University of Alabama,Electrical and Computer Engineering,3.32,2017,Masters,Industrial/Systems Engineering,Nanoscience Engineering,Female,White
U.S. Citizen,University of Alabama,Chemical & Biological Engineering,3.84,2020,Masters,Nanoscience Engineering,Chemical Engineering,Female,White
U.S. Citizen,University of Alabama,Civil Engineering,3.3,2018,Masters,Transportation Engineering,Civil Engineering,Male,White
U.S. Citizen,University of Alabama,Computer Science,3.99,2019,Masters,Computer Science/Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,University of Alabama,"Mathematics, Computer Science",4,2020,Ph.D. with Masters,Mathematics,Computer Science/Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.7,2019,Masters,Mechanical Engineering,Biomedical Engineering,Male,White
U.S. Citizen,University of Alabama,Metallurgical Engineering,3.28,2018,Masters,Aerospace Engineering,Materials Science/Polymers Engineering,Female,White
U.S. Citizen,University of Alabama,Chemical Engineering,3.7,2018,Masters,Chemical Engineering,Biomedical Engineering,Female,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.25,2018,Masters,Industrial/Systems Engineering,Operations Engineering,Male,Black/African American
U.S. Citizen,University of Alabama,Mechanical Engineering,3.67,2019,Masters,Environmental Engineering,Energy Engineering,Female,White
U.S. Citizen,University of Alabama,Chemical Engineering,3.9,2018,Ph.D. with Masters,Chemical Engineering,Bioengineering,Female,White
U.S. Citizen,University of Alabama,Electrical Engineering,3,2017,Ph.D. with Masters,Electrical Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.86,2019,Masters,Industrial/Systems Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Alabama,Computer Science,4,2018,Ph.D. with Masters,Computer Science/Engineering,Robotics Engineering,Male,White
U.S. Citizen,University of Alabama,Computer Science & Mathematcis,4,2019,Ph.D. with Masters,Computer Science/Engineering,Financial Engineering,Male,
U.S. Citizen,University of Alabama,Mechanical Engineering,3.85,2018,Online Master's,Mechanical Engineering,Biomedical Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.5,2020,Masters,Automotive Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Alabama,Electrical engineering,3.88,2019,Ph.D. with Masters,Electrical Engineering,Mathematics,Female,White
U.S. Citizen,University of Alabama,ELECTRICAL ENGINEERING,4,2020,Masters,Computer Engineering,Electrical Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.79,2018,Ph.D. with Masters,Mechanical Engineering,Systems/Signals Engineering,Female,White
U.S. Citizen,University of Alabama,Chemical Engineering,3.95,2019,Ph.D. with Masters,Chemical Engineering,Biomedical Engineering,Female,White
U.S. Citizen,University of Alabama,Computer Science and Math,3.84,2020,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,University of Alabama,Aerospace Engineering,3.95,2017,Ph.D. with Masters,Aerospace Engineering,Computer Science/Engineering,Male,
International,University of Alabama,Electrical Engineering,3.75,2019,Masters,Electrical Engineering,Mechanical Engineering,Male,Asian
Permanent Resident,University of Alabama,Chemical Engineering and Chemistry,4,2020,Ph.D. with Masters,Chemical Engineering,Bioengineering,Female,Asian
U.S. Citizen,University of Alabama,Chemical Engineering,3.2,2020,Ph.D. with Masters,Chemical Engineering,Nuclear Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.8,2020,Masters,Mechanical Engineering,Structural Engineering,Male,
U.S. Citizen,University of Alabama,Computer Science,3.95,2017,Masters,Computer Science/Engineering,Electrical Engineering,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.29,2017,Masters,Mechanical Engineering,Energy Engineering,Female,White
U.S. Citizen,University of Alabama,Computer Science & Mathematics,4,2019,Ph.D. with Masters,Computer Science/Engineering,Mathematics,Male,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.99,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,University of Alabama,Chemical and Biological Engineering,3.74,2018,Masters,Biomedical Engineering,Bioengineering,Female,White
U.S. Citizen,University of Alabama,Computer Science,4,2019,Masters,Computer Science/Engineering,Computer Information Systems,Female,White
U.S. Citizen,University of Alabama,Computer Science and Finance,3.89,2020,Masters,Computer Science/Engineering,Financial Engineering,Male,White
U.S. Citizen,University of Alabama,Civil Engineering,3.34,2018,Masters,Civil Engineering,City Planning,Male,White
U.S. Citizen,University of Alabama,Environmental Engineering,4,2019,Masters,Ocean Engineering,Coastal/Water Systems Engineering,Female,White
U.S. Citizen,University of Alabama,Computer Science,3.36,2018,Masters,Computer Science/Engineering,Human Computer-Interaction/Factors Engineering,Female,White
U.S. Citizen,University of Alabama,Chemical Engineering,4,2020,Masters,Chemical Engineering,Biomedical Engineering,Female,White
U.S. Citizen,University of Alabama,Mechanical Engineering,3.63,2017,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,University of Alabama,Civil Engineering,3.5,2019,Masters,Climate/Space Sciences Engineering,Environmental Engineering,Female,White
U.S. Citizen,University of Alabama,Aerospace Engineering,3.86,2019,Ph.D. with Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Alabama,Civil Engineering,3.19,2019,Masters,Civil Engineering,Coastal/Water Systems Engineering,Female,White
U.S. Citizen,University of Alabama,Aerospace Engineering,3.13,2019,Masters,Aerospace Engineering,Robotics Engineering,Male,White
